T:ZetaZero = +0.03030652+0.99954065i, b=-0.26600000
T:ZetaZero = +0.03031498-0.99954040i, b=-3.01700000
T:ZetaZero = -0.03036480-0.99953888i, b=-1.12700000
T:ZetaZero = -0.03036887-0.99953876i, b=-2.07200000
T:ZetaZero = -0.03045601+0.99953611i, b=-12.74500000
T:ZetaZero = -0.03046347-0.99953588i, b=-3.96000000
T:ZetaZero = -0.03046883+0.99953572i, b=-6.13800000
T:ZetaZero = -0.03062724-0.99953088i, b=-14.90400000
T:ZetaZero = +0.03069339+0.99952885i, b=-3.11400000
T:ZetaZero = +0.03071654+0.99952814i, b=-0.84300000
T:ZetaZero = +0.03090972+0.99952218i, b=-8.78700000
T:ZetaZero = -0.03109987+0.99951628i, b=-15.00600000
T:ZetaZero = -0.03111622-0.99951577i, b=-14.14700000
T:ZetaZero = +0.03113273+0.99951526i, b=-0.46100000
T:ZetaZero = -0.03114811-0.99951478i, b=-15.85300000
T:ZetaZero = +0.03119663+0.99951327i, b=-6.51000000
T:ZetaZero = -0.03140870+0.99950663i, b=-4.24700000
T:ZetaZero = +0.03147969-0.99950439i, b=-5.65600000
T:ZetaZero = +0.03154155+0.99950244i, b=-9.71900000
T:ZetaZero = -0.03154755+0.99950225i, b=-6.51200000
T:ZetaZero = -0.03158269+0.99950114i, b=-4.62400000
T:ZetaZero = -0.03158989+0.99950091i, b=-5.76300000
T:ZetaZero = -0.03177176-0.99949515i, b=-13.96600000
T:ZetaZero = +0.03180886-0.99949397i, b=-9.24400000
T:ZetaZero = -0.03212364+0.99948390i, b=-5.95100000
T:ZetaZero = -0.03213923-0.99948340i, b=-6.22400000
T:ZetaZero = +0.03225792-0.99947958i, b=-14.50400000
T:ZetaZero = -0.03225942-0.99947953i, b=-14.50200000
T:ZetaZero = +0.03227634+0.99947898i, b=-11.61300000
T:ZetaZero = +0.03243772-0.99947376i, b=-15.66200000
T:ZetaZero = +0.03248777+0.99947213i, b=-5.57200000
T:ZetaZero = +0.03254327-0.99947033i, b=-8.85900000
T:ZetaZero = +0.03255720+0.99946987i, b=-10.66200000
T:ZetaZero = -0.03268972+0.99946555i, b=-0.26800000
T:ZetaZero = +0.03277332-0.99946281i, b=-14.90500000
T:ZetaZero = -0.03282788+0.99946102i, b=-1.79200000
T:ZetaZero = -0.03297812+0.99945607i, b=-14.65300000
T:ZetaZero = +0.03305083-0.99945367i, b=-12.26100000
T:ZetaZero = +0.03310927+0.99945174i, b=-4.24500000
T:ZetaZero = +0.03317740+0.99944948i, b=-5.76100000
T:ZetaZero = +0.03341479-0.99944157i, b=-5.28100000
T:ZetaZero = -0.03379383+0.99942883i, b=-0.46300000
T:ZetaZero = +0.03416678+0.99941615i, b=-1.79000000
T:ZetaZero = +0.03420113-0.99941497i, b=-6.03500000
T:ZetaZero = +0.03426751+0.99941270i, b=-15.76000000
T:ZetaZero = +0.03429291+0.99941183i, b=-5.38200000
T:ZetaZero = +0.03455536-0.99940279i, b=-10.94100000
T:ZetaZero = +0.03459132+0.99940154i, b=-14.46600000
T:ZetaZero = -0.03465563-0.99939931i, b=-5.65400000
T:ZetaZero = +0.03470296+0.99939767i, b=-10.85500000
T:ZetaZero = -0.03494340+0.99938929i, b=-11.79800000
T:ZetaZero = +0.03505508-0.99938538i, b=-15.85500000
T:ZetaZero = -0.03510017-0.99938380i, b=-5.84300000
T:ZetaZero = +0.03521513-0.99937976i, b=-5.84500000
T:ZetaZero = -0.03522787-0.99937931i, b=-0.36400000
T:ZetaZero = -0.03526591+0.99937796i, b=-0.84500000
T:ZetaZero = +0.03537655-0.99937405i, b=-2.07400000
T:ZetaZero = -0.03541715+0.99937262i, b=-9.72100000
T:ZetaZero = -0.03566020+0.99936397i, b=-3.11600000
T:ZetaZero = -0.03579559+0.99935913i, b=-5.57400000
T:ZetaZero = -0.03588245-0.99935602i, b=-3.01500000
T:ZetaZero = +0.03590380-0.99935525i, b=-10.75800000
T:ZetaZero = +0.03593722-0.99935405i, b=-2.64000000
T:ZetaZero = -0.03594178-0.99935389i, b=-7.35400000
T:ZetaZero = +0.03596064-0.99935321i, b=-1.12900000
T:ZetaZero = -0.03597507-0.99935269i, b=-13.20700000
T:ZetaZero = +0.03601742+0.99935116i, b=-13.68500000
T:ZetaZero = +0.03628186-0.99934160i, b=-0.16700000
T:ZetaZero = -0.03630963-0.99934059i, b=-8.11400000
T:ZetaZero = -0.03632950-0.99933987i, b=-5.46600000
T:ZetaZero = +0.03642998-0.99933621i, b=-9.43700000
T:ZetaZero = -0.03673577+0.99932501i, b=-3.30500000
T:ZetaZero = -0.03674818-0.99932456i, b=-12.83100000
T:ZetaZero = +0.03679301+0.99932291i, b=-7.83200000
T:ZetaZero = +0.03684612+0.99932095i, b=-4.62200000
T:ZetaZero = -0.03698766-0.99931572i, b=-1.88300000
T:ZetaZero = -0.03710053+0.99931154i, b=-4.05900000
T:ZetaZero = +0.03718238+0.99930850i, b=-14.26400000
T:ZetaZero = -0.03745130+0.99929845i, b=-8.78900000
T:ZetaZero = -0.03794482+0.99927984i, b=-2.92700000
T:ZetaZero = -0.03797008-0.99927888i, b=-15.66000000
T:ZetaZero = +0.03797062-0.99927886i, b=-5.09400000
T:ZetaZero = -0.03811065-0.99927353i, b=-8.85700000
T:ZetaZero = +0.03813771+0.99927249i, b=-14.65000000
T:ZetaZero = -0.03813816+0.99927248i, b=-5.38400000
T:ZetaZero = +0.03826713-0.99926755i, b=-12.07800000
T:ZetaZero = +0.03846480+0.99925996i, b=-15.19000000
T:ZetaZero = -0.03861194-0.99925428i, b=-11.50000000
T:ZetaZero = -0.03868765+0.99925135i, b=-1.60300000
T:ZetaZero = -0.03888913-0.99924353i, b=-1.31600000
T:ZetaZero = -0.03890502-0.99924291i, b=-13.39200000
T:ZetaZero = +0.03903374-0.99923789i, b=-11.12300000
T:ZetaZero = -0.03913378+0.99923398i, b=-6.32500000
T:ZetaZero = +0.03916338-0.99923282i, b=-3.96200000
T:ZetaZero = +0.03923489+0.99923002i, b=-1.97900000
T:ZetaZero = +0.03966666-0.99921297i, b=-14.15000000
T:ZetaZero = +0.03977484+0.99920867i, b=-3.68000000
T:ZetaZero = -0.03980413-0.99920750i, b=-15.10000000
T:ZetaZero = -0.03983803-0.99920615i, b=-6.03300000
T:ZetaZero = +0.03992769+0.99920257i, b=-8.40200000
